review_id,employee_id,review_date,rating,goals_met,comments,reviewer_id
1,1,2022-04-14,2,Met,Performance review #1 for Employee1 LastName1,193
2,1,2022-10-11,5,Partially Met,Performance review #2 for Employee1 LastName1,185
3,1,2023-04-09,4,Not Met,Performance review #3 for Employee1 LastName1,492
4,2,2021-09-04,4,Exceeded,Performance review #1 for Employee2 LastName2,372
5,2,2022-03-03,1,Partially Met,Performance review #2 for Employee2 LastName2,306
6,2,2022-08-30,1,Met,Performance review #3 for Employee2 LastName2,456
7,3,2022-04-25,3,Exceeded,Performance review #1 for Employee3 LastName3,154
8,3,2022-10-22,2,Met,Performance review #2 for Employee3 LastName3,439
9,3,2023-04-20,3,Exceeded,Performance review #3 for Employee3 LastName3,396
10,4,2022-06-13,3,Met,Performance review #1 for Employee4 LastName4,49
11,4,2022-12-10,1,Not Met,Performance review #2 for Employee4 LastName4,183
12,4,2023-06-08,2,Met,Performance review #3 for Employee4 LastName4,136
13,5,2020-10-06,3,Met,Performance review #1 for Employee5 LastName5,120
14,5,2021-04-04,3,Partially Met,Performance review #2 for Employee5 LastName5,48
15,5,2021-10-01,5,Not Met,Performance review #3 for Employee5 LastName5,292
16,6,2022-01-15,2,Exceeded,Performance review #1 for Employee6 LastName6,371
17,6,2022-07-14,3,Not Met,Performance review #2 for Employee6 LastName6,89
18,6,2023-01-10,4,Exceeded,Performance review #3 for Employee6 LastName6,305
19,7,2020-09-18,3,Exceeded,Performance review #1 for Employee7 LastName7,375
20,7,2021-03-17,5,Not Met,Performance review #2 for Employee7 LastName7,41
21,7,2021-09-13,1,Partially Met,Performance review #3 for Employee7 LastName7,179
22,8,2021-06-27,4,Not Met,Performance review #1 for Employee8 LastName8,477
23,8,2021-12-24,1,Met,Performance review #2 for Employee8 LastName8,383
24,8,2022-06-22,5,Exceeded,Performance review #3 for Employee8 LastName8,325
25,9,2021-07-22,4,Exceeded,Performance review #1 for Employee9 LastName9,157
26,9,2022-01-18,5,Exceeded,Performance review #2 for Employee9 LastName9,164
27,9,2022-07-17,5,Met,Performance review #3 for Employee9 LastName9,168
28,10,2021-03-30,5,Met,Performance review #1 for Employee10 LastName10,79
29,10,2021-09-26,1,Not Met,Performance review #2 for Employee10 LastName10,498
30,10,2022-03-25,4,Exceeded,Performance review #3 for Employee10 LastName10,114
31,11,2021-10-11,4,Partially Met,Performance review #1 for Employee11 LastName11,403
32,11,2022-04-09,4,Met,Performance review #2 for Employee11 LastName11,68
33,11,2022-10-06,3,Exceeded,Performance review #3 for Employee11 LastName11,244
34,12,2021-08-11,5,Exceeded,Performance review #1 for Employee12 LastName12,281
35,12,2022-02-07,4,Partially Met,Performance review #2 for Employee12 LastName12,44
36,12,2022-08-06,4,Not Met,Performance review #3 for Employee12 LastName12,397
37,13,2022-04-02,2,Met,Performance review #1 for Employee13 LastName13,247
