assignment_id,project_id,employee_id,role,allocation_percentage,start_date,end_date,is_active
1,1,495,Tester,75,2023-07-13,2024-05-26,False
2,1,279,Manager,75,2023-06-23,2024-04-26,False
3,1,88,Lead,50,2023-07-13,2024-05-09,False
4,1,217,Analyst,75,2023-07-10,2024-05-11,False
5,1,484,Manager,50,2023-07-11,2024-05-09,False
6,2,51,Tester,50,2023-05-12,2023-11-06,False
7,2,340,Tester,75,2023-05-22,2023-11-16,False
8,2,420,Manager,100,2023-05-11,2023-11-29,False
9,2,23,Analyst,75,2023-05-05,2023-11-16,False
10,2,122,Tester,100,2023-05-15,2023-11-13,False
11,2,19,Analyst,100,2023-05-17,2023-12-01,False
12,2,97,Tester,50,2023-06-02,2023-11-11,False
13,2,73,Analyst,50,2023-05-05,2023-11-13,False
14,3,191,Tester,75,2023-07-15,2023-12-22,False
15,3,289,Lead,25,2023-07-27,2024-01-04,False
16,3,337,Tester,25,2023-08-01,2023-12-29,False
17,3,332,Manager,25,2023-07-10,2024-01-14,False
18,3,421,Lead,25,2023-07-23,2023-12-31,False
19,3,262,Developer,75,2023-07-12,2023-12-28,False
20,3,310,Analyst,50,2023-07-31,2024-01-07,False
21,3,84,Tester,75,2023-07-29,2023-12-23,False
22,4,51,Developer,25,2023-03-20,2023-04-13,False
23,4,194,Analyst,100,2023-03-18,2023-04-09,False
24,4,497,Analyst,75,2023-03-16,2023-04-09,False
25,5,139,Lead,50,2024-01-24,2024-05-06,False
26,5,312,Manager,100,2024-01-05,2024-05-05,False
27,5,51,Tester,75,2024-01-09,2024-05-12,False
28,5,460,Manager,50,2023-12-25,2024-05-09,False
29,5,25,Tester,100,2024-01-15,2024-05-26,False
30,5,88,Analyst,25,2024-01-12,2024-05-07,False
31,5,163,Analyst,50,2024-01-23,2024-05-07,False
32,6,312,Analyst,75,2023-08-14,2023-11-18,False
33,6,215,Manager,50,2023-08-30,2023-11-21,False
34,6,362,Developer,75,2023-08-09,2023-11-14,False
35,6,235,Analyst,25,2023-08-13,2023-11-10,False
36,6,94,Developer,50,2023-08-20,2023-12-02,False
37,6,225,Tester,25,2023-08-30,2023-12-02,False
38,6,182,Analyst,100,2023-08-02,2023-11-11,False
39,6,409,Developer,100,2023-08-25,2023-11-07,False
40,7,261,Manager,25,2023-02-14,2023-07-11,True
41,7,478,Manager,50,2023-02-05,2023-08-08,True
42,7,375,Developer,100,2023-02-22,2023-07-13,True
43,7,70,Analyst,50,2023-02-15,2023-07-22,True
44,7,246,Manager,25,2023-02-16,2023-07-18,True
45,7,255,Tester,50,2023-02-12,2023-07-25,True
46,7,264,Analyst,50,2023-01-29,2023-08-06,True
47,7,351,Developer,100,2023-02-09,2023-07-28,True
48,8,195,Tester,25,2023-12-09,2023-12-30,False
49,8,88,Lead,75,2023-11-19,2024-01-11,False
50,8,192,Developer,100,2023-11-18,2024-01-14,False
51,8,497,Analyst,25,2023-11-16,2023-12-22,False
52,8,58,Manager,100,2023-12-09,2024-01-06,False
53,8,174,Developer,100,2023-11-11,2024-01-09,False
54,9,153,Tester,100,2023-08-14,2023-12-21,True
55,9,182,Developer,100,2023-07-28,2024-01-13,True
56,9,55,Developer,50,2023-08-01,2024-01-07,True
57,9,3,Lead,25,2023-07-30,2024-01-10,True
58,9,180,Analyst,50,2023-07-21,2023-12-20,True
